state	user_count
Lakshadweep	159
Ladakh	304
Andaman And Nicobar Islands	392
Dadra And Nagar Haveli And Daman And Diu	416
Chandigarh	859
Sikkim	1010
Mizoram	1481
Goa	1527
Arunachal Pradesh	1601
Puducherry	1859
Nagaland	1999
Manipur	3218
Tripura	3729
Meghalaya	3771
Delhi	6804
Uttarakhand	10007
Himachal Pradesh	10346
Jammu And Kashmir	11455
Haryana	15997
Chhattisgarh	18550
Punjab	20439
Jharkhand	23218
Assam	31827
Kerala	39145
Telangana	42774
Gujarat	46624
Odisha	47011
Madhya Pradesh	50225
Rajasthan	56159
Bihar	60567
Andhra Pradesh	65663
Karnataka	70198
West Bengal	76561
Maharashtra	77191
Tamil Nadu	92552
Uttar Pradesh	110369